model,method,budget,task,Task Type,Eval metric,Avg len,Language,performance
Qwen3-8B,Quant,2048,VCSUM,Summarization,Rouge-L,15380,ZH,1.53
Qwen3-8B,Quant,2048,TREC,Few shot,Accuracy,5177,EN,50.5
Qwen3-8B,Quant,2048,TriviaQA,Few shot,F1,8209,EN,54.17
Qwen3-8B,Quant,2048,SAMSum,Few shot,Rouge-L,6258,EN,18.59
Qwen3-8B,Quant,2048,LSHT,Few shot,Accuracy,22337,ZH,18.5
Qwen3-8B,Quant,2048,PassageCount,Synthetic,Accuracy,11141,EN,7.08
Qwen3-8B,Quant,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,75.14
Qwen3-8B,Quant,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,9.33
Qwen3-8B,Quant,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,42.43
Qwen3-8B,Quant,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,28.21
Qwen3-8B,Origin,2048,NarrativeQA,Single-doc QA,F1,18409,EN,3.71
Qwen3-8B,Origin,2048,Qasper,Single-doc QA,F1,3619,EN,11.0
Qwen3-8B,Origin,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,25.07
Qwen3-8B,Origin,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.84
Qwen3-8B,Origin,2048,HotpotQA,Multi-doc QA,F1,9151,EN,12.55
Qwen3-8B,Origin,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,12.95
Qwen3-8B,Origin,2048,MuSiQue,Multi-doc QA,F1,11214,EN,7.37
Qwen3-8B,Origin,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,19.98
Qwen3-8B,Origin,2048,GovReport,Summarization,Rouge-L,8734,EN,27.63
Qwen3-8B,Origin,2048,QMSum,Summarization,Rouge-L,10614,EN,21.38
Qwen3-8B,Origin,2048,MultiNews,Summarization,Rouge-L,2113,EN,22.78
Qwen3-8B,Origin,2048,VCSUM,Summarization,Rouge-L,15380,ZH,14.02
Qwen3-8B,Origin,2048,TREC,Few shot,Accuracy,5177,EN,71.5
Qwen3-8B,Origin,2048,TriviaQA,Few shot,F1,8209,EN,90.71
Qwen3-8B,Origin,2048,SAMSum,Few shot,Rouge-L,6258,EN,44.47
Qwen3-8B,Origin,2048,LSHT,Few shot,Accuracy,22337,ZH,47.5
Qwen3-8B,Origin,2048,PassageCount,Synthetic,Accuracy,11141,EN,7.3
Qwen3-8B,Origin,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,95.37
Qwen3-8B,Origin,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,97.6
Qwen3-8B,Origin,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,68.69
Qwen3-8B,Origin,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,65.07
